Frame Number,Total Detected,In Alert Area,Alert Triggered
3,12,7,False
6,15,8,False
9,16,10,True
12,16,10,True
15,17,10,True
18,16,10,True
21,20,11,True
24,15,9,False
27,13,8,False
30,15,9,False
33,18,10,True
36,21,9,False
39,17,8,False
42,16,10,True
45,13,7,False
48,12,5,False
51,11,3,False
54,15,6,False
57,15,5,False
60,16,7,False
63,14,4,False
66,15,5,False
69,13,2,False
72,12,2,False
75,16,4,False
78,16,5,False
81,18,4,False
84,22,6,False
87,18,7,False
90,14,5,False
93,17,7,False
96,15,6,False
99,20,11,True
102,22,11,True
105,18,8,False
108,18,8,False
111,15,8,False
114,13,7,False
117,11,6,False
120,13,7,False
123,13,9,False
126,11,6,False
129,14,9,False
132,19,9,False
135,15,8,False
138,15,8,False
141,13,8,False
144,13,7,False
147,12,8,False
150,16,11,True
153,8,3,False
156,15,7,False
159,14,8,False
162,17,5,False
165,11,5,False
168,14,6,False
171,14,8,False
174,14,6,False
177,14,8,False
180,11,6,False
183,15,10,True
186,11,8,False
189,10,6,False
192,12,7,False
195,12,6,False
198,12,4,False
201,9,6,False
204,9,4,False
207,16,6,False
210,11,5,False
213,17,8,False
216,15,4,False
219,12,5,False
222,9,4,False
225,15,5,False
228,13,5,False
231,11,3,False
234,11,5,False
237,13,5,False
240,12,4,False
243,18,9,False
246,14,6,False
249,15,9,False
252,10,5,False
255,10,4,False
258,10,5,False
261,9,6,False
264,9,4,False
267,9,4,False
270,7,4,False
273,10,4,False
276,9,6,False
279,9,6,False
282,13,8,False
285,12,4,False
288,8,4,False
291,10,3,False
294,14,6,False
297,12,6,False
300,11,8,False
303,8,6,False
306,13,8,False
309,12,6,False
312,10,3,False
315,6,3,False
318,13,6,False
321,9,2,False
324,8,3,False
327,10,3,False
330,11,3,False
333,11,3,False
336,9,3,False
339,11,4,False
342,10,4,False
345,10,6,False
348,7,4,False
351,9,4,False
354,10,5,False
357,9,4,False
360,8,3,False
363,9,3,False
366,11,4,False
369,9,5,False
372,8,3,False
375,9,6,False
378,12,8,False
381,11,4,False
384,15,6,False
387,9,5,False
390,13,8,False
393,9,7,False
396,16,13,True
399,11,8,False
402,16,12,True
405,16,10,True
408,15,9,False
411,15,7,False
414,16,9,False
417,13,8,False
420,22,15,True
423,18,11,True
426,17,9,False
429,12,7,False
432,9,5,False
435,10,6,False
438,14,10,True
441,14,10,True
444,12,7,False
447,8,4,False
450,10,5,False
453,18,8,False
456,17,8,False
459,19,9,False
462,16,8,False
465,14,8,False
468,18,13,True
471,18,12,True
474,19,11,True
477,16,9,False
480,15,9,False
483,15,8,False
486,15,7,False
489,15,10,True
492,19,11,True
495,17,12,True
498,18,14,True
501,19,10,True
504,21,12,True
507,18,11,True
510,15,12,True
513,20,11,True
516,14,6,False
519,21,10,True
522,19,13,True
525,20,12,True
528,13,6,False
531,17,9,False
534,20,10,True
537,19,9,False
540,17,8,False
543,15,6,False
546,15,8,False
549,16,11,True
552,16,8,False
555,16,7,False
558,21,10,True
561,14,8,False
564,17,8,False
567,15,7,False
570,15,8,False
573,13,7,False
576,13,8,False
579,12,6,False
582,14,9,False
585,11,7,False
588,7,5,False
591,13,8,False
594,9,4,False
597,12,6,False
600,12,8,False
603,8,5,False
606,10,6,False
609,10,5,False
612,15,10,True
615,14,7,False
618,14,7,False
621,16,7,False
624,13,7,False
627,15,7,False
630,11,5,False
633,9,4,False
636,15,8,False
639,12,7,False
642,9,5,False
645,9,4,False
648,11,5,False
651,13,6,False
654,13,7,False
657,13,6,False
660,9,5,False
663,16,5,False
666,12,6,False
669,10,6,False
672,11,7,False
675,15,9,False
678,13,7,False
681,14,8,False
684,15,9,False
687,8,4,False
690,12,6,False
693,14,7,False
696,17,9,False
699,12,6,False
702,17,6,False
705,13,4,False
708,13,6,False
711,14,8,False
714,14,7,False
717,14,7,False
720,11,8,False
723,6,3,False
726,11,6,False
729,6,5,False
732,5,4,False
735,4,2,False
738,6,3,False
741,4,3,False
744,7,5,False
747,3,3,False
750,5,4,False
753,6,4,False
756,3,2,False
759,1,1,False
762,3,3,False
765,3,2,False
768,3,1,False
771,2,0,False
774,0,0,False
777,2,0,False
780,1,0,False
783,1,0,False
786,1,0,False
789,1,1,False
792,1,0,False
795,2,1,False
798,3,1,False
801,2,1,False
804,0,0,False
807,1,0,False
810,0,0,False
813,3,1,False
816,3,1,False
819,6,2,False
822,6,2,False
825,5,1,False
828,4,2,False
831,4,2,False
834,4,3,False
837,4,2,False
840,3,2,False
